month,total_assets,cash_balance,shares_value,cash_pct,account_return_pct,profit_from_trading
2025-01,9635,1961,7674,,,470
2025-02,9107,2811,6296,,,-778
2025-03,8974,4167,4807,,,-382
2025-04,9649,3299,6350,,,425
2025-05,11772,3229,8544,,,1833
2025-06,12530,3120,9410,,,497
2025-07,13946,4665,9280,,,1166
2025-08,15249,6152,9097,,7.42,1053
2025-09,17288,4848,12441,,11.55,1789
2025-10,19337,6112,13225,,10.25,1798
2025-11,17333,7927,9406,,-11.51,-2254
2025-12,18597,6473,12124,,5.77,1014
2026-01,18747,5625,13122,,0.54,100
2026-02,18516,3428,15088,19%,-2.53,-481
2026-03-01,18516,3428,15088,19%,,
2026-03-08,18398,3678,14720,20%,-1.96,-368
