month,opening_balance,shares_bought,shares_sold,capital_invested,closing_stock,sw_return_pct,sp500_return_pct,trades_opened,trades_closed
2025-01,6693,1112,601,511,7674,6.5,2.7,5,1
2025-02,7674,787,1386,-600,6296,-11.0,-1.4,3,4
2025-03,6296,1651,2758,-1107,4807,-4.8,-5.8,6,8
2025-04,4807,1331,213,1118,6350,6.9,-0.8,5,1
2025-05,6350,1409,1088,321,8544,24.3,6.2,5,2
2025-06,8544,2055,1696,359,9410,8.1,5.0,7,4
2025-07,9410,2718,4014,-1296,9280,9.6,2.2,7,8
2025-08,9280,2319,3555,-1237,9097,9.1,1.0,5,7
2025-09,9097,2228,674,1554,12441,15.8,3.5,5,1
2025-10,12441,2236,3250,-1015,13225,12.3,2.3,5,2
2025-11,13225,2662,4227,-1565,9406,-14.2,0.1,7,8
2025-12,9406,2631,410,2221,12440,6.8,-0.1,6,1
2026-01,12440,2165,1584,581,13122,0.7,1.4,5,4
